date,total
2023-08-26,6
2023-06-20,5
2023-08-27,4
2023-09-14,4
2023-05-26,4
2023-05-30,4
2023-05-17,3
2023-05-18,3
2023-05-22,3
2023-08-30,3
2023-10-16,3
2023-09-18,2
2023-09-15,2
2023-08-21,2
2023-06-30,2
2023-09-06,2
2023-05-16,2
2023-06-21,2
2023-06-19,2
2023-08-29,2
2023-09-20,2
2023-10-08,2
2023-06-09,2
2023-10-19,2
2023-09-19,1
2023-09-25,1
2023-10-09,1
2023-09-11,1
2023-09-08,1
2023-10-17,1
2023-09-05,1
2023-09-01,1
2023-10-20,1
2023-10-23,1
2023-05-15,1
2023-08-02,1
2023-08-23,1
2023-08-14,1
2023-05-24,1
2023-05-31,1
2023-06-01,1
2023-06-05,1
2023-06-07,1
2023-06-12,1
2023-06-13,1
2023-06-14,1
2023-06-15,1
2023-06-26,1
2023-06-27,1
2023-06-28,1
2023-06-29,1
2023-07-03,1
2023-07-05,1
2023-07-08,1
2023-08-04,1
2023-10-24,1
